virus,serum,geo_mean_NT50,NT50_rep1,NT50_rep2
Influenza H3 1982,85_1,40.11805490409165,40.23645823219282,40.0
Influenza H3 1982,85_2,780.0278972592452,1110.3073906585246,547.9955601680821
Influenza H3 1982,85_3,22849.71356613934,22122.90114758979,23600.404240448963
Influenza H3 1982,85_4,52.83384796296137,67.11498781522428,41.59153687486948
Influenza H3 1982,85_6,238.0697100027639,408.08605800306884,138.88537897654396
Influenza H3 1982,85_7,11930.472538188336,16911.775578264598,8416.394501320112
Influenza H3 1982,85_8,422.98729096850514,347.5417317895516,514.810832643304
Influenza H3 1982,86_1,68.85435827803482,104.30532917989429,45.45235311710065
Influenza H3 1982,86_10,2222.4114265768912,3768.387974884447,1310.6698625241715
Influenza H3 1982,86_12,5009.436862855851,7850.450103503988,3196.5629170406905
Influenza H3 1982,86_2,40.0,40.0,40.0
Influenza H3 1982,86_4,40.0,40.0,40.0
Influenza H3 1982,86_6,40.0,40.0,40.0
Influenza H3 1982,86_7,40.0,40.0,40.0
Influenza H3 1982,86_8,406.08312270396,776.1184026370996,212.47209444421026
Influenza H3 1982,86_9,1011.9773522169488,1221.999449450103,838.0512461448886
Influenza H3 1982,87_4,40.0,40.0,40.0
Influenza H3 1982,87_7,222.67528071004466,499.59573457638163,99.24880700060577
Influenza H3 1982,87_8,750.4487196039684,1040.5184800624684,541.2429395020685
Influenza H3 1982,87_9,372.0077089400295,574.2023174669724,241.01215077170056
Influenza H3 2022,85_1,40.0,40.0,40.0
Influenza H3 2022,85_2,40.0,40.0,40.0
Influenza H3 2022,85_3,387.2517100272458,635.5565228532466,235.9568056131077
Influenza H3 2022,85_4,40.0,40.0,40.0
Influenza H3 2022,85_6,40.0,40.0,40.0
Influenza H3 2022,85_7,336.5638714201542,626.7127679439251,180.74506430904165
Influenza H3 2022,85_8,338.15577226872415,590.820953286201,193.54311265136357
Influenza H3 2022,86_1,40.0,40.0,40.0
Influenza H3 2022,86_10,40.0,40.0,40.0
Influenza H3 2022,86_12,174.23346041160391,212.9901457012593,142.5291232467685
Influenza H3 2022,86_2,40.0,40.0,40.0
Influenza H3 2022,86_4,52.44988554194828,68.77476233408686,40.0
Influenza H3 2022,86_6,40.0,40.0,40.0
Influenza H3 2022,86_7,40.0,40.0,40.0
Influenza H3 2022,86_8,40.0,40.0,40.0
Influenza H3 2022,86_9,86.8805734955653,188.70585127295828,40.0
Influenza H3 2022,87_4,40.0,40.0,40.0
Influenza H3 2022,87_7,47.351933034050255,56.055139051529544,40.0
Influenza H3 2022,87_8,40.0,40.0,40.0
Influenza H3 2022,87_9,796.3397206456543,1133.866785881129,559.286997885907
